pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6531,IV,nse_cm,,NHIT,NHIT-IV,,NHIT-IV,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,200000,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1369353600,93.16-139.74,0,0,1378058543,,,,,,,,,,CASH,,,,,10000,,,,3.50,75.00,,,T+1,315513000,0,1,858610,200000,0,13974,9316,1,1,1,0,0,1,0,7.26405e+08,0,0,858610
6542,BL,nse_cm,,NHIT,NHIT-BL,,NHIT-BL,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,0,115.28-117.61,0,0,1378054072,,,,,,,,,,CASH,,,,,10000,,,,,,,,T+1,315513000,0,1,0,1,0,11761,11528,1,1,1,0,0,1,0,7.26405e+08,0,0,99999999
6545,EQ,nse_cm,,NYKAA,NYKAA-EQ,,NYKAA,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,5,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,108.40-162.50,0,0,1378058543,,,,,,,,,,CASH,,,,,100,,,,3.50,16.14,,,T+1,315513000,0,1,735786,1,0,16250,10840,1,1,1,0,0,1,0,2.85188e+09,0,0,735786
1,SM,nse_cm,,GOLDSTAR,GOLDSTAR-SM,,GOLDSTAR-SM,INE405Y01021,,,,GOLDSTAR POWER LIMITED,,,5,22500,-1,-1,2,-1,NSE,,,1192060800,,1192060800,0,0,0,0,1374192000,5.60-6.15,0,0,1378058543,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,7871053,22500,0,615,560,1,1,1,0,0,1,0,2.40705e+08,0,0,7871053
6549,BE,nse_cm,,GRPLTD,GRPLTD-BE,,GRPLTD,INE137I01015,,,,GRP LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1375056000,1375574400,0,3941.25-4102.05,0,0,1378058545,,,,,,,,,,CASH,,,,,1000,,,,0.00,100.00,,,T+1,315513000,0,1,24865,1,0,410205,394125,1,1,1,0,0,1,0,1.33333e+06,0,0,24865
4,EQ,nse_cm,,21STCENMGM,21STCENMGM-EQ,,21STCENMGM,INE253B01015,,,,21ST CENTURY MGMT SERVICE,,,5,1,-1,-1,2,-1,NSE,,,484531200,,483926400,0,0,1376870400,1377302400,0,18.40-19.10,0,0,1378058543,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,343350,1,0,1910,1840,1,1,1,0,0,1,0,1.05e+07,0,0,343350
7,EQ,nse_cm,,AARTIIND,AARTIIND-EQ,,AARTIIND,INE769A01020,,,,AARTI INDUSTRIES LTD,,,5,1,-1,-1,2,-1,NSE,,,473040000,,476668800,0,0,0,0,1374969600,441.95-540.15,0,0,1378058543,,,,,,,,,,CASH,,,,,500,,,,0,20,,,T+1,315513000,0,1,203364,1,0,54015,44195,1,1,1,0,0,1,0,3.62504e+08,0,0,203364
8,SG,nse_cm,,507PY23,507PY23-SG,,507PY23-SG,IN3820200019,,,,SDL PY 5.07% 2023,,,1,100,-1,-1,2,-1,NSE,,,1284249600,,1284249600,0,0,0,0,1378598400,95.00-105.00,0,0,1378054071,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,408750,100,0,10500,9500,1,1,1,0,0,1,0,1.25e+07,0,0,408750
6553,BL,nse_cm,,NYKAA,NYKAA-BL,,NYKAA-BL,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,5,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,134.10-136.80,0,0,1378055676,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,13680,13410,1,1,1,0,0,1,0,2.85188e+09,0,0,99999999
6555,SG,nse_cm,,525AS24,525AS24-SG,,525AS24-SG,IN1220210117,,,,SDL AS 5.25% 2024,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1378054072,,,,,,,,,,CASH,,,,,10000,,,,0.00,10.00,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
