Stock Name,Symbol,Sector,Industry,Market Cap(Rs. Cr.),Exchange
Grindwell Norton Ltd.,GRINDWELL,abrasives,Abrasives,21340.17,NSE
Carborundum Universal Ltd.,CARBORUNIV,abrasives,Abrasives,17528.59,NSE
Wendt (India) Ltd.,WENDT,abrasives,Abrasives,1707.8,NSE
Tata Consumer Products Ltd.,TATACONSUM,agriculture,Tea/Coffee,68904.79,NSE
Shree Renuka Sugars Ltd.,RENUKA,agriculture,Sugar,11419.35,NSE
E.I.D. - Parry (India) Ltd.,EIDPARRY,agriculture,Sugar,9639.21,NSE
Balrampur Chini Mills Ltd.,BALRAMCHIN,agriculture,Sugar,7873.44,NSE
CCL Products (India) Ltd.,CCL,agriculture,Tea/Coffee,7239.38,NSE
Triveni Engineering & Industries Ltd.,TRIVENI,agriculture,Sugar,6707.5,NSE
Bombay Burmah Trading Corporation Ltd.,BBTC,agriculture,Agriculture,6317.5,NSE
Gujarat Ambuja Exports Ltd.,GAEL,agriculture,Solvent  Extraction,5687.52,NSE
Bombay Super Hybrid Seeds Ltd.,BSHSL,agriculture,Agriculture,4504.96,NSE
Tata Coffee Ltd.,TATACOFFEE,agriculture,Tea/Coffee,4015.56,NSE
Bannari Amman Sugars Ltd.,BANARISUG,agriculture,Sugar,3481.21,NSE
Dalmia Bharat Sugar And Industries Ltd.,DALMIASUG,agriculture,Sugar,2923.53,NSE
Kaveri Seed Company Ltd.,KSCL,agriculture,Agriculture,2840.83,NSE
Venky'S (India) Ltd.,VENKEYS,agriculture,Agriculture,2617.78,NSE
Apcotex Industries Ltd.,APCOTEXIND,agriculture,Rubber  Products,2339.76,NSE
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,agriculture,Sugar,1960.75,NSE
Dwarikesh Sugar Industries Ltd.,DWARKESH,agriculture,Sugar,1857.59,NSE
Dhampur Sugar Mills Ltd.,DHAMPURSUG,agriculture,Sugar,1515.96,NSE
Andrew Yule & Company Ltd.,ANDREWYU,agriculture,Tea/Coffee,1278.61,NSE
Dhampur Bio Organics Ltd.,DBOL,agriculture,Sugar,1219.54,NSE
Rossell India Ltd.,ROSSELLIND,agriculture,Tea/Coffee,1202.52,NSE
Manorama Industries Ltd.,MANORAMA,agriculture,Solvent  Extraction,1153.9,NSE
The Ugar Sugar Works Ltd.,UGARSUGAR,agriculture,Sugar,1127.25,NSE
Uttam Sugar Mills Ltd.,UTTAMSUGAR,agriculture,Sugar,1067.87,NSE
Pix Transmissions Ltd.,PIXTRANS,agriculture,Rubber  Products,1043.49,NSE
Avadh Sugar & Energy Ltd.,AVADHSUGAR,agriculture,Sugar,994.72,NSE
Apex Frozen Foods Ltd.,APEX,agriculture,Aquaculture,764.53,NSE
DCM Shriram Industries Ltd.,DCMSRIND,agriculture,Sugar,638.09,NSE
Mangalam Global Enterprise Ltd.,MGEL,agriculture,Agriculture,468.32,NSE
Magadh Sugar & Energy Ltd.,MAGADSUGAR,agriculture,Sugar,452.13,NSE
Ponni Sugars (Erode) Ltd.,PONNIERODE,agriculture,Sugar,419.95,NSE
Shree Oswal Seeds and Chemicals Ltd.,OSWALSEEDS,agriculture,Agriculture,409.63,NSE
Rana Sugars Ltd.,RANASUG,agriculture,Sugar,367.79,NSE
Mawana Sugars Ltd.,MAWANASUG,agriculture,Sugar,357.72,NSE
Cupid Ltd.,CUPID,agriculture,Rubber  Products,357.46,NSE
Kothari Sugars And Chemicals Ltd.,KOTARISUG,agriculture,Sugar,341.5,NSE
GRP Ltd.,GRPLTD,agriculture,Rubber  Products,335.47,NSE
K.C.P. Sugar And Industries Corporation Ltd.,KCPSUGIND,agriculture,Sugar,322.01,NSE
Vishwaraj Sugar Industries Ltd.,VISHWARAJ,agriculture,Sugar,320.16,NSE
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,agriculture,Agriculture,304.35,NSE
Mcleod Russel India Ltd.,MCLEODRUSS,agriculture,Tea/Coffee,299.27,NSE
Jay Shree Tea & Industries Ltd.,JAYSREETEA,agriculture,Tea/Coffee,285.89,NSE
Sakthi Sugars Ltd.,SAKHTISUG,agriculture,Sugar,272.16,NSE
K.M. Sugar Mills Ltd.,KMSUGAR,agriculture,Sugar,261.28,NSE
Harrisons Malayalam Ltd.,HARRMALAYA,agriculture,Agriculture,252.47,NSE
Dhunseri Tea & Industries Ltd.,DTIL,agriculture,Tea/Coffee,250.39,NSE
Ruchi Infrastructure Ltd.,RUCHINFRA,agriculture,Solvent  Extraction,232.74,NSE
Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,agriculture,Sugar,177.28,NSE
Elgi Rubber Company Ltd.,ELGIRUBCO,agriculture,Rubber  Products,170.42,NSE
The United Nilgiri Tea Estates Company Ltd.,UNITEDTEA,agriculture,Tea/Coffee,136.78,NSE
Shree Ram Proteins Ltd.,SRPL,agriculture,Solvent  Extraction,126.27,NSE
The Grob Tea Company Ltd.,GROBTEA,agriculture,Tea/Coffee,99.88,NSE
Simbhaoli Sugars Ltd.,SIMBHALS,agriculture,Sugar,98.86,NSE
The Peria Karamalai Tea And Produce Company Ltd.,PKTEA,agriculture,Tea/Coffee,72.13,NSE
Agri-Tech (India) Ltd.,AGRITECH,agriculture,Agriculture,65.93,NSE
Somi Conveyor Beltings Ltd.,SOMICONVEY,agriculture,Rubber  Products,48.18,NSE
Dharani Sugars & Chemicals Ltd.,DHARSUGAR,agriculture,Sugar,37.02,NSE
Narmada Agrobase Ltd.,NARMADA,agriculture,Agriculture,30.62,NSE
Khaitan (India) Ltd.,KHAITANLTD,agriculture,Sugar,24.37,NSE
